香港闽信保险有限公司	外资保险公司代表处	1997-3-5	请选择	
太平人寿保险有限公司新罗营销服务部	保险公司－人身险	2012-6-8	营业	
太平人寿保险有限公司龙岩市永定支公司	保险公司－人身险	2017-3-1	营业	
太平人寿保险有限公司上杭支公司	保险公司－人身险	2016-1-13	营业	
太平人寿保险有限公司武平支公司	保险公司－人身险	2017-2-24	营业	
太平人寿保险有限公司连城支公司	保险公司－人身险	2010-10-14	营业	
太平人寿保险有限公司宁德中心支公司	保险公司－人身险	2011-6-1	营业	
太平人寿保险有限公司福安支公司	保险公司－人身险	2015-10-21	营业	
太平人寿保险有限公司福鼎营销服务部	保险公司－人身险	2014-9-22	营业	
中宏人寿保险有限公司福建分公司	保险公司－人身险	2008-7-10	营业	
中宏人寿保险有限公司福建分公司福清市营销服务部	保险公司－人身险	2010-5-14	营业	
中宏人寿保险有限公司福建分公司泉州市营销服务部	保险公司－人身险	2011-1-6	营业	
建信人寿保险股份有限公司福建分公司	保险公司－人身险	2014-7-14	营业	
建信人寿保险股份有限公司福州中心支公司	保险公司－人身险	2018-6-20	营业	
建信人寿保险股份有限公司福建分公司福清营销服务部	保险公司－人身险	2017-12-11	营业	
建信人寿保险股份有限公司莆田中心支公司	保险公司－人身险	2016-11-29	营业	
建信人寿保险股份有限公司泉州中心支公司	保险公司－人身险	2015-5-18	营业	
建信人寿保险股份有限公司南平中心支公司	保险公司－人身险	2017-11-3	营业	
建信人寿保险股份有限公司龙岩中心支公司	保险公司－人身险	2015-12-21	营业	
工银安盛人寿保险有限公司福建分公司	保险公司－人身险	2015-10-16	营业	
工银安盛人寿保险有限公司福建分公司罗源营销服务部	保险公司－人身险	2018-12-5	营业	
工银安盛人寿保险有限公司莆田中心支公司	保险公司－人身险	2018-12-27	营业	
工银安盛人寿保险有限公司泉州中心支公司	保险公司－人身险	2016-7-12	营业	
工银安盛人寿保险有限公司龙岩中心支公司	保险公司－人身险	2017-5-31	营业	
中信保诚人寿保险有限公司福建省分公司	保险公司－人身险	2008-9-26	营业	
中信保诚人寿保险有限公司福建省分公司福州东升营销服务部	保险公司－人身险	2011-12-13	营业	
中信保诚人寿保险有限公司福建省分公司福州朝阳营销服务部	保险公司－人身险	2018-3-23	营业	
中信保诚人寿保险有限公司福建省分公司福清营销服务部	保险公司－人身险	2010-9-8	营业	
中信保诚人寿保险有限公司莆田中心支公司	保险公司－人身险	2019-2-26	营业	
中信保诚人寿保险有限公司福建省分公司莆田营销服务部	保险公司－人身险	2013-12-12	改建	
中信保诚人寿保险有限公司泉州中心支公司	保险公司－人身险	2011-10-19	营业	
中信保诚人寿保险有限公司泉州中心支公司晋江营销服务部	保险公司－人身险	2014-1-7	营业	
中信保诚人寿保险有限公司漳州中心支公司	保险公司－人身险	2018-6-20	营业	
中信保诚人寿保险有限公司龙岩中心支公司	保险公司－人身险	2014-9-4	营业	
中信保诚人寿保险有限公司龙岩中心支公司连城营销服务部	保险公司－人身险	2018-11-26	营业	
中意人寿保险有限公司福建省分公司	保险公司－人身险	2017-3-3	营业	
关于中意人寿保险有限公司福建省分公司（筹）开业验收的报告	保险公司－人身险	2017-3-3	营业	
中意人寿保险有限公司福建省分公司连江营销服务部	保险公司－人身险	2018-2-1	营业	
中意人寿保险有限公司泉州中心支公司	保险公司－人身险	2018-4-13	营业	
中英人寿保险有限公司福建分公司	保险公司－人身险	2005-11-29	营业	
中英人寿保险有限公司福建分公司电话销售中心	保险公司－人身险	2014-1-2	营业	
中英人寿保险有限公司福建分公司福州营销服务部	保险公司－人身险	2005-12-30	营业	
中英人寿保险有限公司福建分公司宁德大厦营销服务部	保险公司－人身险	2007-2-14	改建	
中英人寿保险有限公司福建分公司福清营销服务部	保险公司－人身险	2006-8-22	营业	
中英人寿保险有限公司福建分公司泉州中心支公司	保险公司－人身险	2012-7-25	营业	
中英人寿保险有限公司福建分公司泉州营销服务部	保险公司－人身险	2006-9-11	改建	
中英人寿保险有限公司福建分公司惠安营销服务部	保险公司－人身险	2011-3-29	营业	
中英人寿保险有限公司福建分公司石狮营销服务部	保险公司－人身险	2018-6-21	营业	
中英人寿保险有限公司福建分公司晋江营销服务部	保险公司－人身险	2007-2-14	营业	
中英人寿保险有限公司福建分公司漳州营销服务部	保险公司－人身险	2008-4-10	营业	
中英人寿保险有限公司福建分公司漳浦营销服务部	保险公司－人身险	2008-4-10	营业	
中英人寿保险有限公司福建分公司南平营销服务部	保险公司－人身险	2007-8-10	营业	
同方全球人寿保险有限公司福建分公司	保险公司－人身险	2011-7-21	营业	
民生人寿保险股份有限公司福建分公司	保险公司－人身险	2004-9-17	营业	
民生人寿保险股份有限公司福建分公司福州市鼓楼营销服务部	保险公司－人身险	2005-12-13	营业	
民生人寿保险股份有限公司台江支公司	保险公司－人身险	2011-4-13	营业	
